artist_name,book_name,profile_url,publisher_name,publisher_profile_url
John Gossage,"LAMF: Three Days in Berlin, 1987",https://photobookers.com/creators/john-gossage,Magic Hour Press,https://photobookers.com/creators/magic-hour-press
John Lehr,The Last Things,https://photobookers.com/creators/john-lehr,TBW Books,https://photobookers.com/creators/tbw-books
John Sanderson,Carbon County Booklet,https://photobookers.com/creators/john-sanderson,Zatara Press,https://photobookers.com/creators/zatara-press
Jon Nicholson,"Pirates, Cowboys and Jokers",https://photobookers.com/creators/jon-nicholson,RRB Photobooks,https://photobookers.com/creators/rrb-photobooks
Jordan Sullivan,Hallucinations,https://photobookers.com/creators/jordan-sullivan,Jane & Jeremy,https://photobookers.com/creators/jane--jeremy
Jordan Weitzman,Participation,https://photobookers.com/creators/jordan-weitzman,Magic Hour Press,https://photobookers.com/creators/magic-hour-press
José Pedro Cortes,Ocean Rain,https://photobookers.com/creators/jose-pedro-cortes,Pierre von Kleist Editions,https://photobookers.com/creators/pierre-von-kleist-editions
Joshua Amirthasingh,Tales from the City,https://photobookers.com/creators/joshua-amirthasingh,Nazraeli Press,https://photobookers.com/creators/nazraeli-press
Juan Brenner,GENESIS,https://photobookers.com/creators/juan-brenner,Guest Editions,https://photobookers.com/creators/guest-editions
Judith Black,Where the Light Came in,https://photobookers.com/creators/judith-black,Stanley / Barker,https://photobookers.com/creators/stanley--barker
Julian Slagman,Looking at My Brother,https://photobookers.com/creators/julian-slagman,DISKOBAY,https://photobookers.com/creators/diskobay
Justin Fiset,Six Cinder Blocks on Top of a Wall,https://photobookers.com/creators/justin-fiset,Zatara Press,https://photobookers.com/creators/zatara-press
Katalin Deér,Ur Haus,https://photobookers.com/creators/katalin-deer,Jungle Books,https://photobookers.com/creators/jungle-books
