title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
Motherhouse,,false,"Spanning 12 years and many hundreds of negatives, ‘Motherhouse’ is a visual record of once hidden, now lost worlds: Burlington, Vermont’s Saint Joseph’s Orphan Asylum, Mount Saint Mary’s Convent, and the governing orders of the Sisters of Providence and the Sisters of Mercy.

In favor of light and texture, the pictures are reminiscent of religious painting, exploring interiority and the intangible qualities of a space filled with atmosphere, history, and the dark and light of sublimated desire.

116 pages
8.5 x 12.25 inches

Section sewn hard cloth cover 
Limited edition of 75 copies

English

Photographs by Abbey Meaker

Edited by Cristian Ordóñez and Abbey Meaker

Essay by Summer Bowie

Design Direction by Cristian Ordóñez

Graphic Design by Cristian Ordóñez and Carolina Figueroa Pino

Published by Another Earth

Printed by The Gas Company Inc.

2025 © All rights reserved

 
 
 

We can only ship with the US at this time",https://freight.cargo.site/w/1200/i/7074e6300460a776cb02e751f714a86bda92785750fcd6bde2f2cbf6b8c0424b/Land-Chapters-IG-interior-Devin-A-Wilder-01.jpg,,available,https://another-earth.com/Motherhouse
Jonas Feige and Alan Huck,A Narrow Foothold,false,"German philosopher Walter Benjamin’s monumental work the  Arcades Project —which remained unfinished at the time of his death in 1940—represents both a treatise on the labyrinthine nature of the modern city and the realization of his dream of a book without authorship, composed almost entirely of quotations drawn from a wide range of sources. Taking their mutual appreciation for these aspects of Benjamin’s work as their starting point, friends and photographers  Jonas Feige  (Germany) and  Alan Huck  (United States) sorted through their archives of orphaned images in order to assemble a collective portrait of an anonymous city—one composed of severe geometric forms, vague symbols, and the spectral traces of a human presence. Intentionally trying to dissolve any sense of individual authorship, the two looked to Benjamin as their methodological guide, reminding them that “an enigma is a fragment that, together with another, matching fragment, makes up a whole.”

56 pages 

30 photographs 

7.25 x 8.75 inches 

Swiss-bound hard cover 
First Edition of 100 copies

English 

Edited by  Jonas Feige ,  Alan Huck , and  Cristian Ordóñez 

Designed by  Cristian Ordóñez 
Typography by Erkin Karamemet

Published by Another Earth

© 2024

 
  

Press: 

 The Nearest Truth - Episode 428 

Website and PDF:

 anarrowfoothold.another-earth.com",https://freight.cargo.site/w/1200/i/f6af41023586caf254ccfa8d1e2f30251135c194c8af1ab60cbf92af5716e3c7/Land-Chapters-IG-Cover-01.jpg,,available,https://another-earth.com/a-narrow-foothold-jonas-feige-and-alan-huck
Tracing Movement,What Makes a Lake?,false,"What Makes a Lake? Tracing Movement brings together the work of more than 80 artists to create a portrait of Earth’ lakes, rivers, and oceans.  This collection of images and text offers an intimate experience of places that we hope create a new connection to and commitment for caring for our most vulnerable ecosystems. In exploring an expanded scope of lakes around many different communities, we see how all these bodies of water are not isolated but rather flowing in and out of one another, reminding us how much our impact ripples out. What changes can be made with new awareness?

 Artists:    Maalik Abdul-Rahim, Gaspar Abrilot, Gabriela Alvarez, Andy Becker, Tal Ben Avi, Casey Bennett, Ali Beşikçi, Koan Brink, Alix Breda, Kelly Burgess, Frances Cannon, Madeline Cass, Zen Cohen, Kristie Cornell, Ben Currotto, Giuseppe De Santis, Adam DeSorbo, J Taran Diamond, Ross Doree, Peter Dubinski, Laura Duval, Richelle Forsey, Andrew Frost, Matina Galati, Roman Gioglio, Grace Glynn, Renee Greenlee, Tülin Gündoğdu, Beihua Guo, Ke Huang, Julie F Hill, Justine Highsmith, Anne Immelé, Ian Thomas Jansen-Lonnquist, Hua Jin, Caitlin Lorraine Johnson, Phoenix Kanada, Laura Kiernan, Cassandra Klos, Kalie Krause, C.E. La Dolce, Macaulay Lerman, Victoria Maidstone, Andrea Martínez, Benjamin Mayock, Pierre Mohamed-Petit, Zaynab Mortada, Kasia Murfet, Tommy Nease, Masato Ninomiya, Kelley O’Leary, Steve Olsen, Charles-Frederick Ouellet, Ahmed Ozsever, Robert Pallesen, Jasmine Parsia, Sarah Phenix, Duy Phuong, Ilaria Pisoni, Zach Pollakoff, Jared Ragland, Will Ritson, Matt Ross, Anna Rotty, Jordan Rowell, Will Sharp, Saar Shemesh, Kate Schneider, Fiona Segadaes Da Silva, Stefanie Schaut, Yonatan Schechner, Jackson Smith, William Mark Sommer, Todd Stewart, Brian St. Denis, Michael Sundue, Lily Consuelo Saporta Tagiuri, Camila Valdés, Maxim Voloshin, Ryan Walker, Alyssa Warren, Feiyi Wen, Janice Wong, Andrew Zawacki, Mary Zompetti

180 pages

9.25 x 12.5 inches

Unbound

contained and shipped in cardboard box
First Edition of 150 copies

English

Curated and Edited by  Abbey Meaker ,  Estefania Puerta  and  Cristian Ordóñez .

Book design by  Cristian Ordóñez  and  Abbey Meaker . 

Cover image by  Feiyi Wen .

This publication was supported by the Burlington City Arts Community Fund Grant.

©2023

Press: 

 What Makes a Lake? Tracing Movement, collective work – Louis Perreault",https://freight.cargo.site/w/1200/i/f6af41023586caf254ccfa8d1e2f30251135c194c8af1ab60cbf92af5716e3c7/Land-Chapters-IG-Cover-01.jpg,,available,https://another-earth.com/what-makes-a-lake-book
Floodplains,Abbey Meaker,false,"Floodplains is a book of photographs by Abbey Meaker made among the Silver Maple Floodplains Forests in Vermont, along the Winooski River, Derway Cove and the Hawkins Road Marsh during 2020-2021.

37 pages

6.5 x 9.25 inches

Sewn and bound

Letterpress printed dust jacket
Edition of 100 copies

English

Edited by  Abbey Meaker  and The Brother In Elysium.

Book design, binding and letterpress dust jacket by  The Brother In Elysium .

All images were shot on film and printed digitally.

All images copyright  Abbey Meaker .

 Special edition available here. 

©2022

—

Press:

 Vessel Editions “Top books of 2022” 

 American Suburb X",https://freight.cargo.site/w/1200/i/f6af41023586caf254ccfa8d1e2f30251135c194c8af1ab60cbf92af5716e3c7/Land-Chapters-IG-Cover-01.jpg,,available,https://another-earth.com/Abbey-Meaker-Floodplains
Displace,Cristian Ordóñez,false,"Artist book by Cristian Ordóñez, part of the exhibition of the same name. It reinforces the artists’ interest in book form, using the materials and medium to express themes of fragility, vulnerability and memory present in heritage buildings around the city of Toronto. Many of these buildings are being demolished for newer condominiums to support gentrification, a common occurrence throughout the last decade.

The book and exhibition at Project 107 Gallery in Toronto, uses recycled materials, repurposing them for their construction.

Limited edition of 8 copies + 1AP
10 x 13 inches, 52 Pages
Newsprint, French Fold + Gate folds
Repurposed Chipboard Cover
Side Sewn Binding + Elastic
Published by Another Earth
Text by Stefan Novakovic, Architecture Critic

Book designed and edited by  Cristian Ordóñez .
Print supported by Gas Company Inc.

  —

Shows:
 What Makes a Photobook Sustainable?, CONTACT Photography Festival, Toronto 

 Displace, Project 107 Gallery, Toronto 

 Salon 44, Gallery 44, Toronto 

Press:
New York Review of Architecture

 What Makes a Photobook Sustainable? 

©2022-23

 Out of stock",https://freight.cargo.site/w/1200/i/e11d0786ede966a3429b854ca0cfca761ab9b4d9778aeb75227123f57bf3f867/AE-Signals-00.jpg,,sold-out,https://another-earth.com/Cristian-Ordonez-Displace
