title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
Observations in the Ordinary,,false,,https://subjectivelyobjective.com/wp-content/uploads/2020/01/Observations-In-The-Ordinary-Sold-Out.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2020/01/Observations-In-The-Ordinary-Sold-Out.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/06/Observations-in-the-Ordinary-Spread-01-Blue.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/06/Observations-in-the-Ordinary-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/06/Observations-in-the-Ordinary-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/06/Observations-in-the-Ordinary-Spread-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2019/06/Observations-in-the-Ordinary-Spread-05.jpg,sold-out,https://subjectivelyobjective.com/product/observations-in-the-ordinary-2/
The Vernacular of Landscape,,false,,https://subjectivelyobjective.com/wp-content/uploads/2020/01/The-Vernacular-of-Landscape-Sold-Out.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2020/01/The-Vernacular-of-Landscape-Sold-Out.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/04/The-Vernacular-of-Landscape-Spread-1-1.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/04/The-Vernacular-of-Landscape-Spread-2.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/04/The-Vernacular-of-Landscape-Spread-3.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/04/The-Vernacular-of-Landscape-Spread-4.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/04/The-Vernacular-of-Landscape-Spread-5.jpg,sold-out,https://subjectivelyobjective.com/product/the-vernacular-of-landscape/
Two Book + Print Set,Instant Winter,false,,https://subjectivelyobjective.com/wp-content/uploads/2018/01/Instant-Winter-Two-Book-Set.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Two-Book-Set.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Front-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Back-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Title-Page.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Spread-02.jpg,sold-out,https://subjectivelyobjective.com/product/instant-winter-two-book-set-with-print-2/
Instant Winter Michigan,Noah Waldeck,false,,https://subjectivelyobjective.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Front-Cover.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Front-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Back-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Title-Page.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Spread-03.jpg,sold-out,https://subjectivelyobjective.com/product/noah-waldeck-instant-winter-michigan/
Instant Winter Florida,Noah Waldeck,false,,https://subjectivelyobjective.com/wp-content/uploads/2018/01/Instant-Winter-Florida-Front-Cover.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Florida-Front-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Florida-Back-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Florida-Title-Page.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Florida-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Florida-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Florida-Spread-03.jpg,sold-out,https://subjectivelyobjective.com/product/noah-waldeck-instant-winter-florida/
Four Book Set,Four American Places,false,,https://subjectivelyobjective.com/wp-content/uploads/2021/01/Four-American-Places-Covers.gif,https://subjectively.wpenginepowered.com/wp-content/uploads/2021/01/Four-American-Places-Covers.gif|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Volume-6-Meat-Potatoes-Front.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Volume-6-Meat-Potatoes-Back.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/01/Four-American-Places-Good-Earth-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/01/Four-American-Places-Good-Earth-Back-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Four-American-Places-Good-Earth-Spread-01.jpg,sold-out,https://subjectivelyobjective.com/product/four-american-places/
Prairieland & Detroit Nocturne – Two Book Set,Dave Jordano,false,,https://subjectivelyobjective.com/wp-content/uploads/2021/01/Dave-Jordano-Covers-2sec.gif,https://subjectively.wpenginepowered.com/wp-content/uploads/2021/01/Dave-Jordano-Covers-2sec.gif|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Obscura-Land-Volume-3-Dave-Jordano-1.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Obscura-Land-Volume-3-Dave-Jordano-Accordion-Fold-Postcard.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/01/Dave-Jordano-Prairieland-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2021/01/Dave-Jordano-Prairieland-Inside-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Volume-3-Dave-Jordano-Prairieland-Spread-02.jpg,sold-out,https://subjectivelyobjective.com/product/dave-jordano-prairieland-detroit-nocturne/
Obscura Land Volume 2: Subjectively Objective,,false,,https://subjectivelyobjective.com/wp-content/uploads/2018/09/Obscura-Land-Volume-2-Subjectively-Objective-Meat-Potatoes.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Obscura-Land-Volume-2-Subjectively-Objective-Meat-Potatoes.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Subjectively-Objective-Landscape-Title-Page.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Subjectively-Objective-Landscape-Spread-1.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Subjectively-Objective-Landscape-Spread-2.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Subjectively-Objective-Landscape-Spread-3.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/09/Subjectively-Objective-Landscape-Spread-4.jpg,sold-out,https://subjectivelyobjective.com/product/obscura-land-volume-2/
Another Land,Ryan Debolski,false,,https://subjectivelyobjective.com/wp-content/uploads/2018/05/Ryan-Debolski-Cover.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2018/05/Ryan-Debolski-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/05/Ryan-Debolski-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/05/Ryan-Debolski-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/05/Ryan-Debolski-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/05/Ryan-Debolski-Spread-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/05/Ryan-Debolski-Spread-05.jpg,sold-out,https://subjectivelyobjective.com/product/ryan-debolski-another-land-2/
Ice Fishers,Aleksey Kondratyev,false,,https://subjectivelyobjective.com/wp-content/uploads/2017/03/Aleksey-Kondratyev-Ice-Fishers-Cover.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Aleksey-Kondratyev-Ice-Fishers-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Aleksey-Kondratyev-Ice-Fishers-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Aleksey-Kondratyev-Ice-Fishers-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Aleksey-Kondratyev-Ice-Fishers-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Aleksey-Kondratyev-Ice-Fishers-Spread-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Aleksey-Kondratyev-Ice-Fishers-Spread-05.jpg,sold-out,https://subjectivelyobjective.com/product/ice-fishers/
Eyes Make The Horizon,Michael Zuhorski,false,,https://subjectivelyobjective.com/wp-content/uploads/2017/03/Michael-Zuhorski-Eyes-Make-the-Horizon-Cover.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Michael-Zuhorski-Eyes-Make-the-Horizon-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Michael-Zuhorski-Eyes-Make-the-Horizon-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Michael-Zuhorski-Eyes-Make-the-Horizon-Spread-02.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Michael-Zuhorski-Eyes-Make-the-Horizon-Spread-03.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Michael-Zuhorski-Eyes-Make-the-Horizon-Spread-04.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2017/03/Michael-Zuhorski-Eyes-Make-the-Horizon-Spread-05.jpg,sold-out,https://subjectivelyobjective.com/product/eyes-make-the-horizon/
Instant Winter Two Book Set + 4 Prints,,false,,https://subjectivelyobjective.com/wp-content/uploads/2018/08/Instant-Winter-Four-Print-Set.jpg,https://subjectively.wpenginepowered.com/wp-content/uploads/2018/08/Instant-Winter-Four-Print-Set.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Front-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Back-Cover.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Title-Page.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Spread-01.jpg|https://subjectively.wpenginepowered.com/wp-content/uploads/2018/01/Instant-Winter-Michigan-Spread-02.jpg,sold-out,https://subjectivelyobjective.com/product/instant-winter-two-book-set-with-4-prints-pre-order/
