title;artist;artistExistsInDb;description;coverUrl;images;availability;purchaseLink
The Quiet Engineer;Luigi Danieli;FALSE;"Some lives reveal their complexity only in hindsight, when fragments long held in silence finally gather into form. The archive of Luigi Danieli (b. 1915, d. 1993), a pioneering Italian engineer whose work spanned continents, offers such a revelation. Known publicly for his technical brilliance and sweeping industrial visions, Danieli also cultivated a quieter, more intimate gaze—one that unfolded not in factories or boardrooms, but behind the small camera he kept close.

          The photographs preserved in The Quiet Engineer reveal a man who navigated the world with both precision and wonder, moving through places with a freedom afforded to him—one that allowed his camera to linger where most could not. His mind drove him toward innovation and responsibility, yet his images linger on subtleties—gestures, fleeting expressions, the dignity of ordinary scenes. They form an alternate memoir written in light, showing rigor intertwined with unexpected tenderness.

          To enter Danieli’s archive is to witness a dialogue between motion and pause: the builder of industrial landscapes also pausing to capture a smile, a landscape’s stillness, the intimacy of family life. Rediscovered albums and negatives reclaim their place, offering a portrait beyond his public identity. His archive becomes a bridge between the precision of his craft and the softness of his gaze—between the life he built and the moments he quietly chose to preserve.

          The book contains an introduction by Annachiara Danieli (b. 1947, Italian), daughter of Luigi Danieli, of Fondazione Luigi Danieli, and forewords by photographers Carlotta Manaigo (b. 1980, Italian), Danieli’s granddaughter, and Bartolomeo Rossi (b. 1993, Italian).

          First edition of 800 copies, with fold-out poster.

20,5 x 25,8 cm. 192 pages. 142 color plates. Offset printed softcover with authentic tip-in image on front cover. Typography on front cover, spine and back cover in white foil. Linen thread bound.
          ISBN 978–91–88113–91–7
          Published in 2026.";;;available;https://libraryman.se/luigi-danieli-the-quiet-engineer
After Primal;Osamu Yokonami;FALSE;"Over the years, Osamu Yokonami (b. 1967, Japanese) has quietly traced the delicate line between instinct and identity. What began as a study of childhood spontaneity—children balancing fruit between shoulder and chin, surrounded by drifting skies—has evolved into a reflection on the quiet unfolding of self-awareness.

          In the earlier images, the children glance toward the lens without agenda, their expressions ranging from mischief to solemn stillness. They exist in a space slightly removed from the world—feral yet composed—where the act of balancing a fruit becomes a poetic metaphor for an unspoken challenge: to simply be.

          Now, revisiting the same subjects five years later, under the same sky and in the same light, a subtle shift is revealed. The hands are steadier, the gazes more grounded. What once was raw instinct has given way to a budding interiority—a quiet sense of presence. They remain children, but the contours of selfhood have begun to emerge—tentative, but unmistakable.

          Between fruit and skin, sky and shoulder, instinct and intention, lies a tender record of transition.

          The book contains a preface, in Japanese, written by Osamu Yokonami, with an English translation.

          First edition of 1,000 copies. Special edition of 25 copies, numbered, with original print, signed by the author. Print size: 21 x 29,7 cm.

22,7 x 30 cm. 96 pages. 158 color plates. Offset printed paperbound hardcover. Linen thread bound. Blind embossing on front cover, spine and back cover. Dustcover in offset, with typography on front cover, spine and flaps in white foil. Blue headband.
          ISBN 978–91–88113–89–4
          Published in 2025.";;;available;https://libraryman.se/osamu-yokonami-after-primal
In-Passing;Lisa Sorgini;FALSE;"Two new identities: Mother and Motherless. The collision of birth and death marks the inception of what has become a long-running commentary, nearly a decade in the making.

          In-Passing began in 2015, the year Lisa Sorgini (b. 1980, Australian) became a mother to her first child, shortly followed by the loss of her mother to illness.

          Initially, the creation of images served as both a determined witness to a new reality and a therapeutic outlet for her grief and awe. The images are saturated with the profound metamorphosis that accompanies motherhood, representing the corporeal and psychological shifts that redefine the self. Reminiscent of the adolescent journey, this evolution of identity navigates a liminal space where the maternal self simultaneously vanishes and is reborn—a quiet reinvention at the threshold of both loss and renewal.

          In its most apparent form, it is a visceral account of the chaos and intimacy within the familial space during her children’s formative years. Each image speaks to the complexities, intimacy, and emotional landscapes of the mother-child universe.

          Beyond this, there lies the pursuit of something more elusive—an intangible force that lingers at the periphery of memory and consciousness. It embodies the unspoken weight of motherhood, shaping each experience in ways that are deeply felt but not always easily understood.

          The book contains a preface written by Lisa Sorgini.

          First Edition, 2025. Special edition of 50 copies, numbered, in dove grey dustcover, hand-painted by Lisa’s two sons, with signed original print. Choice of 2 prints — 25 copies per print. Print size: 17,2 x 24,7 cm.

21,4 x 26 cm. 72 pages. 49 color plates. Offset printed paperbound hardcover. Linen thread bound. Beige headband. Authentic tip-in image on front cover. Typography on spine and back cover in white foil.
          ISBN 978–91–88113–80–1
          Published in 2025.";;;available;https://libraryman.se/lisa-sorgini-in-passing
The Boyfriend Casting;Rosie Harriet Ellis;FALSE;"Rosie Harriet Ellis (b. 1991, British) presents her debut book, The Boyfriend Casting, a deeply intimate and daring exploration of love, consent, and objectification. As articulated by Charlotte Jansen in the foreword, it is at once “a cold, clinical, almost anatomical study of the male form,” while also revealing the personal and emotional dimensions of Ellis’ journey.

          The work began after an ex-boyfriend retracted his consent to be part of a photographic project, forcing Ellis to reconsider her approach to intimacy and image-making. This act of rejection triggered a profound desire for a new partner—both romantically and creatively. Over a five-year period, Ellis used the camera as a therapeutic tool, accompanying her through a complex emotional landscape of grief, yearning, and the exploration of reversed objectification.

          As a photographer capturing her lovers, Ellis’ diverse photographic styles document her coming-of-age passage. Through raw, honest imagery and diary-like reflections, The Boyfriend Casting unveils the contradictions and complexities of love, obsession, and the blurred lines between personal and artistic expression.

          In this body of work, Ellis surrenders to vulnerability, embracing her role as both creator and subject in a search for personal reconciliation.

          The book contains a foreword written by author and cultural journalist Charlotte Jansen (b. 1985, British/Sri Lankan) as well as writings by Rosie Harriet Ellis.

          First edition of 700 copies. Special edition of 25 copies, numbered, in paperboard slipcase, screen printed in white, with signed original print. Print size: 20,5 x 29,4 cm.

29,7 x 24 cm. 160 pages. 297 color plates. Offset printed clothbound hardcover. Linen thread bound. Beige headband. Authentic tip-in image on front cover. Typography on front cover, spine and back cover in peach foil.
          ISBN 978–91–88113–79–5
          Published in 2025.
          —
          Press:
            British Journal of Photography
            L'Intervalle
            L'Œil de la Photographie
            Small Photobook Cult";;;available;https://libraryman.se/rosie-harriet-ellis-the-boyfriend-casting
In the Flap of a Bird’s Wing, Water Dries Up;Eriko Masaoka;FALSE;"Eriko Masaoka (b. 1983, Japanese) began taking photographs at the age of 20, by visiting small villages across Japan, and while living on a ranch in Hokkaido and in an Ainu community—the latter, of which experiences, shaped her artistic direction.

          Without a specific intention in mind, Masaoka decided on her destinations, followed her thoughts, and continued her journey while taking pictures. Subsequent to a decade in the making, this story was concluded.

          In this book, people, animals, man-made objects, herself, and nature all have souls and emit life as living organisms, as if in an animistic worldview; comparing all life to a drop of rain and celebrating all life that may be short and fleeting.

          The photographs were taken in Hokkaido, Okinawa (and its surrounding islands of Iriomote and Aguni), Kagoshima, Kikaijima, the Tōhoku region (Akita, Aomori, Nagano and Niigata), Tokyo, Osaka, Mount Kōya, Rotterdam in the Netherlands, Gullfoss in Iceland, and the Azores of Macaronesia.

					The book contains a preface, in Japanese, written by Eriko Masaoka, with an English translation.

          First edition of 700 copies. Special edition of 25 copies, numbered, in black dustcover, screen printed in white, with signed original print. Print size: 25,4 x 17,4 cm.

27 x 18,7 cm. 80 pages. 61 color plates. Offset printed paperbound hardcover. Linen thread bound. Aubergine headband. Typography on front cover, spine and back cover in white foil.
          ISBN 978–91–88113–78–8
          Published in 2025.
          —
          Press:
            WePresent";;;available;https://libraryman.se/eriko-masaoka-in-the-flap-of-a-birds-wing-water-dries-up
